Freq,Real(part),Imag(part)
564.9234088,1.161273458,0
693.3000558,1.162761352,0
821.6659057,1.169224523,0
950.0606671,1.162365254,0
1078.442523,1.161452993,0
1206.821918,1.161674606,0
1335.192125,1.166129873,0
1463.584646,1.160302848,0
1591.947664,1.168071092,0
1720.322044,1.170603592,0
1848.683579,1.179055252,0
1977.058375,1.181396011,0
2105.414175,1.192490061,0
2233.786154,1.19612922,0
2362.180837,1.189305884,0
2490.528629,1.204090009,0
2618.907554,1.204528146,0
2747.290053,1.203319597,0
2875.652552,1.211326996,0
2964.291485,1.213315109,0
