% Model,GRIN_Paper_Design_Unit_Cells_200127.mph
% Version,COMSOL 5.4.0.388
% Date,"Feb 16 2020, 18:45"
% Table,"Table 4 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)"
% Pillar_a (mm),freq (Hz),T_mag (1),R_mag (1),T_Phase (deg),R_Phase (deg),T (1),R (1)
1,2000,0.9985492121441456,0.0036269453991488246,-27.536761665491618,-70.200435568825,0.8854279526599322-0.4616469102269988i,-0.0012285579989384445+0.003412532515837936i
1,2100,0.9982975394253161,0.004136687192582249,-28.897431995774106,-75.04016278764703,0.8739957061825334-0.4824204419353881i,-0.0010678522657918154+0.003996482511874322i
1,2200,0.9980577469254542,0.004650617008533863,-30.256907543540215,-79.58995618430258,0.8620970950579022-0.5028994580337509i,-8.403272433824524E-4+0.004574066974159179i
1,2300,0.9978315258623236,0.005166164411880108,-31.615246971329395,-83.9259245412675,0.8497408207798496-0.5230757990053836i,-5.466533155019697E-4+0.005137161169676035i
1,2400,0.997620487263721,0.005680912104217878,-32.97251660266378,-88.09805870751003,0.8369354728848256-0.5429416643023055i,-1.8854402864951057E-4+0.00567778244432717i
1,2500,0.9974261528571031,0.006192545821482604,-34.32879018360558,87.85967915427705,0.8236895060282383-0.5624895804032979i,2.312727515529729E-4+0.006188225647594856i
1,2600,0.9972499456788209,0.006698829752297749,-35.684148617587944,83.92360115004185,0.810011219930185-0.5817123668477614i,7.0910111899391E-4+0.006661193260468511i
1,2700,0.9970931803742324,0.0071975954843493,-37.03867966331933,80.0768574691208,0.7959087424360669-0.6006031002772464i,0.0012403399295194142+0.007089918026011669i
1,2800,0.9969570532154253,0.007686738505911116,-38.392477584853246,76.30730334985242,0.7813900160087525-0.619155076566304i,0.0018195609493313464+0.0074682760266292425i
1,2900,0.9968426319084778,0.008164219128354864,-39.745642743100895,72.60613082845664,0.7664627880151939-0.6373617711929362i,0.002440600920734397+0.0077908883396892465i
1,3000,0.9967508453163868,0.0086280661058744,-41.098281118806106,68.96696647804244,0.7511346052073906-0.6552167980896622i,0.0030966659007565017+0.008053209610238055i
1.1,500,1.0024694599200283,0.0026006698732541625,-7.033515818465351,26.18684099264813,0.9949255694469433-0.1227523088704597i,0.0023337364563149237+0.0011476750158988754i
1.1,600,1.0022693229802282,0.002740427460349283,-8.426320322557563,38.1045527265058,0.991449947418844-0.14687000221425997i,0.0021564039745155935+0.001691113409600247i
1.1,700,1.0020523995071822,0.0030262453512626027,-9.818139440053633,48.88113199726174,0.9873763019580459-0.1708714419958908i,0.00199012965175751+0.0022798124693127818i
1.1,800,1.0018202045084548,0.0034485681663674645,-11.208901009995003,57.713870695005845,0.9827104528811782-0.19474056577773316i,0.0018420447712220811+0.0029153890750458072i
1.1,900,1.0015743425690216,0.003988192004725962,-12.598540501726884,64.45861497387848,0.9774587544457901-0.2184617748024861i,0.0017195605353297761+0.0035984423063176183i
1.1,1000,1.0013164949377313,0.004625336974591863,-13.987001280621103,69.36240923528486,0.9716280478692016-0.2420199570867411i,0.0016302264043454437+0.0043285221495449845i
1.1,1100,1.0010484068719685,0.005343541115941186,-15.374234796213218,72.78363863208754,0.9652256133970167-0.2654005051676784i,0.001581585718736148+0.005104117776074905i
1.1,1200,1.0007718754311357,0.0061300592802861105,-16.760200701191124,75.05364684483257,0.9582591225605913-0.28858932877595794i,0.0015810313081027873+0.00592266551331583i
1.1,1300,1.0004887378551202,0.00697507061764689,-18.144866912554626,76.43776681399518,0.9507365911434386-0.3115728628040085i,0.0016356637472876461+0.006780576245937355i
1.1,1400,1.0002008606263384,0.007870787619706991,-19.528209626028005,77.13733277253206,0.9426663332796313-0.3343380709682982i,0.0017521548661839268+0.0076732816369165565i
1.1,1500,0.9999101292329172,0.00881076865680406,-20.91021329657474,77.3026336375532,0.9340569169577879-0.3568724455963242i,0.0019366189602353175+0.008595298210450754i
1.1,1600,0.9996184386300846,0.009789447443566284,-22.290870595878168,77.04596250224022,0.9249171211340985-0.3791640039379522i,0.0021944940243508637+0.009540308025815247i
1.1,1700,0.9993276843197137,0.01080182601482541,-23.67018235786434,76.45199733174502,0.9152558945297224-0.4012012813743235i,0.002530435090723738+0.01050125437774902i
1.1,1800,0.9990397539400161,0.01184327866878019,-25.048157520659437,75.58542535447538,0.9050823161330651-0.42297332182507i,0.002948221533381545+0.011470450706772129i
1.1,1900,0.9987565192190895,0.012909428521496987,-26.424813071840266,74.49638347089412,0.8944055573692788-0.4444696655898816i,0.003450679919197613+0.012439700673524514i
1.1,2000,0.9984798281151263,0.013996071172445964,-27.800174000577087,73.22431261354222,0.8832348458740623-0.4656803347647756i,0.004039623692633213+0.013400427182970302i
1.1,2100,0.9982114969633379,0.015099129047353931,-29.174273257737916,71.80069732584023,0.8715794308199364-0.48659581630074017i,0.004715810667753525+0.01434380799280823i
1.1,2200,0.9979533024416356,0.0162146259125718,-30.54715172200874,70.25102948514535,0.8594485497665975-0.507207042693868i,0.005478918966227437+0.015260915452428078i
1.1,2300,0.997706973181396,0.017338674817026466,-31.91885816664108,68.59623140563643,0.8468513970673873-0.5275053702283959i,0.006327541712063869+0.01614285787252925i
1.1,2400,0.9974741808753922,0.018467475077674468,-33.28944921925954,66.85369969874635,0.8337970939340469-0.5474825546628612i,0.007259200449138679+0.01698092001582224i
1.1,2500,0.9972565307674366,0.019597315430630154,-34.658989304375154,65.03808051961107,0.8202946603491593-0.5671307242258707i,0.008270376919651557+0.017766700247781226i
1.1,2600,0.9970555514569026,0.0207245814249253,-36.02755055642461,63.16185243810316,0.8063529891114082-0.586442349802711i,0.009356562522612542+0.018492241967884834i
1.1,2700,0.9968726839974468,0.02184576575888416,-37.39521269000379,61.23576993368765,0.7919808223840964-0.6054102122330641i,0.010512324464562427+0.019150157073606417i
1.1,2800,0.9967092703325142,0.022957480661945372,-38.762062813375096,59.26920469800799,0.7771867312052619-0.6240273667117916i,0.011731387337714028+0.019733739368809924i
1.1,2900,0.9965665411616726,0.024056471702983966,-40.12819517133502,57.270411122850554,0.7619790984798976-0.6422871043721042i,0.013006728609314221+0.020237066034386388i
1.1,3000,0.9964456033958833,0.025139632580535528,-41.49371080484764,55.246734876220174,0.746366106019707-0.6601829112541201i,0.014330686281706183+0.020655085499209188i
1.2,500,1.002469911313527,0.002941562219879334,-7.049035972073814,35.270741726140045,0.9948927300547418-0.12302186298854784i,0.002401587198604328+0.0016985779996577285i
1.2,600,1.0022696014583075,0.0032562597377692832,-8.44496596583029,46.19447706273889,0.9914023747879886-0.14719268076956488i,0.002254024486973894+0.0023500215088248354i
1.2,700,1.002052365819227,0.0037123873752728637,-9.83991963222774,55.12188502232922,0.9873112430299994-0.17124676122621327i,0.0021228639833195334+0.003045532553168668i
1.2,800,1.0018196932345824,0.004289383889621432,-11.233825241328342,61.97796313210603,0.9826251443507977-0.19516793651162795i,0.002015200265325301+0.0037865263822105767i
1.2,900,1.0015731609404568,0.0049672312881461666,-12.626618473529053,67.03070964067594,0.9773504261693027-0.21894049690027834i,0.0019384008943804031+0.004573400118358712i
1.2,1000,1.001314422190431,0.005729687020865183,-14.018242675857117,70.63407997035546,0.9714939273555999-0.2425492139705863i,0.001899964428496602+0.005405501690640612i
1.2,1100,1.0010451941522922,0.006564337785644214,-15.408649044816649,73.1081339309831,0.9650629313782189-0.2659793586259647i,0.0019073757211106673+0.006281118405391984i
1.2,1200,1.000767246264933,0.007461679811481151,-16.79779674469554,74.70776158897647,0.9580651196059329-0.2892167142320213i,0.001967961218402324+0.007197485272783115i
1.2,1300,1.0004823891769097,0.008414191210099457,-18.185652971964878,75.62655416697298,0.9505085252527634-0.312247585218772i,0.002088746930567788+0.008150812841683865i
1.2,1400,1.0001924643602556,0.009415637950016832,-19.5721929772444,76.00957809147611,0.94240148836433-0.33505880154345535i,0.002276321699034027+0.009136333921672523i
1.2,1500,0.9998993344059869,0.010460605444882164,-20.957400057798612,75.96579616207313,0.9337526120899927-0.3576377194321806i,0.0025367082171995742+0.010148368228158186i
1.2,1600,0.9996048739883103,0.011544195738376992,-22.34126553101128,75.57786559979975,0.9245707204209817-0.379972218775811i,0.002875244143024191+0.011180403676252776i
1.2,1700,0.9993109614070145,0.012661835876907543,-23.72378869977525,74.90932644302376,0.9148648174474977-0.4020506975307571i,0.0032964753954184507+0.012225192748629519i
1.2,1800,0.9990194705940242,0.013809158664591953,-25.10497681811738,74.00973942579833,0.9046440481391465-0.4238620634031572i,0.0038040635072711603+0.01327486210310762i
1.2,1900,0.9987322634267602,0.014981930216286707,-26.484845063324837,72.91833666642478,0.8939176605967251-0.4453957230181021i,0.0044007086240295925+0.01432103336397469i
1.2,2000,0.9984511821651058,0.016176007899667184,-27.863416517885568,71.66662569644397,0.8826949697045742-0.4666415686853648i,0.00508808944010238+0.015354952862826175i
1.2,2100,0.9981780418250343,0.017387318188294715,-29.240722161809,70.2802632319302,0.8709853221279906-0.4875899627958521i,0.005866821048702499+0.016367627945536443i
1.2,2200,0.9979146222964769,0.01861184770651546,-30.616800872817507,68.78041859478112,0.8587980626303469-0.5082317198045424i,0.006736431343325515+0.01734996737193435i
1.2,2300,0.9976626600271888,0.01984564311534767,-31.991699428482853,67.18477794036944,0.8461425017485802-0.528558085688962i,0.007695356275370513+0.018292923288989706i
1.2,2400,0.9974238391223951,0.02108481697571403,-33.36547250205392,65.50829320028075,0.833027884942903-0.5485607147410493i,0.00874095392611162+0.019187632249992502i
1.2,2500,0.9971997817437224,0.022325557684574244,-34.73818264104567,63.76374755573037,0.8194633634275639-0.5682316435307981i,0.009869537017492172+0.02002555280104906i
1.2,2600,0.9969920377417891,0.023564142194150216,-36.1099002156915,61.96218748711081,0.805457966991587-0.587563261896372i,0.011076423166191693+0.020798597240909843i
1.2,2700,0.9968020735029322,0.024796950629978953,-37.48070332330223,60.11325664967132,0.791020579205716-0.6065482808588271i,0.012356001873433563+0.021499255295226387i
