% Model,GRIN_Paper_Design_Unit_Cells_200127.mph
% Version,COMSOL 5.4.0.388
% Date,"Feb 16 2020, 18:42"
% Table,"Table 4 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)"
% freq (Hz),T_mag (1),R_mag (1),T_Phase (deg),R_Phase (deg),T (1),R (1)
500,0.9843782398546342,0.19246223518751077,-17.172041484944547,72.32229682083425,0.9404971626646944-0.2906296717800286i,0.0584435263283138+0.18337411541350213i
600,0.9763932413014929,0.22935427314737314,-20.527200221788046,69.15581213448603,0.9143979614400206-0.34237425395839827i,0.08161063021604091+0.2143433872241i
700,0.9671720725422934,0.2653085468198564,-23.846160776504977,65.97783904846247,0.8846087047703539-0.3910105591288707i,0.10800444443620626+0.2423296618197829i
800,0.9568144298666883,0.3002078024556621,-27.12385319648582,62.8099697375051,0.8515869224766933-0.43622650844233446i,0.13717790115130885+0.26703360854203273i
900,0.9454285096435302,0.3339526419702589,-30.35570285257084,59.66587339423931,0.8158146494793237-0.4777881586453509i,0.16866004052940817+0.2882328187551417i
1000,0.9331283416864178,0.366462115189072,-33.537669678028095,56.5549981417877,0.7777837158614419-0.515539516816327i,0.20197056885958464+0.3057815743032671i
1100,0.9200311714487548,0.39767378775299167,-36.66627348944901,53.48424224995569,0.7379821108032739-0.5493994544697985i,0.23663333959347696+0.3196077346664966i
1200,0.9062549924728966,0.4275433065496591,-39.73860582452785,50.458789034243495,0.6968819766996126-0.579356213337952i,0.27218820345611877+0.3297072350961475i
1300,0.8919163098748308,0.45604352606701226,-42.75232927894103,47.48256266797076,0.6549296092911734-0.6054600818340101i,0.3082008542105419+0.3361367744408904i
1400,0.877128192517204,0.48316327911016854,-45.70566573794865,44.55849944891455,0.6125376579693361-0.6278148482458326i,0.34427047822452883+0.33900529804642415i
1500,0.861998648095431,0.5089058832092147,-48.59737517399301,41.68872413209706,0.5700795549848966-0.6465686122188217i,0.3800351811820334+0.33846485641627544i
1600,0.8466293338876032,0.533287473329574,-51.42672680993051,38.87467510596797,0.5278860657021653-0.6619044724402879i,0.41517530179554585+0.33470135641974713i
1700,0.8311145974765539,0.556335244793234,-54.19346446408677,36.117200709499194,0.4862437502482255-0.6740315196510883i,0.449414823871154+0.3279256328559987i
1800,0.8155408273346894,0.5780856796152856,-56.897767803809,33.41663835489785,0.4453950614228999-0.6831764635215712i,0.48252116339814843+0.31836516745580673i
1900,0.7999860828683801,0.5985828165803592,-59.54021107800979,30.772882642754634,0.4055397714505673-0.6895761209285863i,0.5143036393885873+0.30625668126088273i
2000,0.7845199671548051,0.6178766118044772,-62.121720696571444,28.185445764181672,0.36683741567763994-0.6934709001274147i,0.5446109414384421+0.2918397332107374i
2100,0.7692037027411888,0.636021423352899,-64.64353279741086,25.653511943723057,0.3294104580073484-0.6950993356824218i,0.5733278900939953+0.2753513780684877i
2200,0.7540903707547263,0.6530746415757068,-67.10715171607181,23.17598685992977,0.29334791376333486-0.6946936654063427i,0.6003717549839434+0.2570218731679034i
2300,0.7392252755688775,0.6690954765785725,-69.51431005335847,20.75154256412399,0.2587092047830366-0.6924763933885485i,0.6256883563863519+0.23707137629931727i
2400,0.7246464006886822,0.6841439059054485,-71.86693084099471,18.378658217647214,0.22552806368955647-0.6886577513681971i,0.6492481335535797+0.2157075452198099i
2500,0.7103849257500694,0.6982797790815527,-74.16709213478434,16.055656883619168,0.19381634572242815-0.683433952085888i,0.6710423215211795+0.1931239306809179i
2600,0.6964657791429735,0.7115620709744306,-76.41699422185756,13.780738586194246,0.16356764465616083-0.676986120344328i,0.6910793398136963+0.1694990469946257i
2700,0.682908205352194,0.7240482728151489,-78.61892951607996,11.552009851795546,0.13476064262519033-0.6694797876983293i,0.7093814630211677+0.14499600438821802i
2800,0.669726330467253,0.7357939078566916,-80.77525512735338,9.367509959685787,0.10736215150145316-0.6610648426184161i,0.7259818152472421+0.11976259336429214i
2900,0.6569297132314043,0.7468521578266762,-82.88836802669749,7.225234140576373,0.08132982572191194-0.6518758375444963i,0.7409217080481737+0.09393172091119896i
3000,0.6445238724379774,0.7572735862772233,-84.96068268576815,5.123153969295028,0.056614543511736344-0.642032565844914i,0.7542483242971781+0.06762211005333965i
